A_id,B_id
2779,1745
2794,737
2797,340
2803,2438
2812,2263
2824,1024
2827,468
2830,846
2839,1272
2842,2605
2845,1204
2848,2416
2851,2244
2854,1894
2860,2092
289,913
2902,1062
2911,275
2920,1933
2926,484
2929,207
2950,2294
2953,2947
2956,119
2962,2689
2965,389
2971,941
2974,800
2983,538
2998,307
3004,2099
3016,2691
3019,1368
3022,1079
3028,1996
3031,2909
3043,296
3052,853
3058,1293
3061,2385
3064,2709
3070,313
3076,2041
31,1801
310,1055
3103,278
3142,2512
3148,1029
3154,1270
3157,1262
319,819
3199,818
3202,2136
3208,373
3211,18
3214,3015
3226,1084
3229,1484
3232,277
3235,1880
3244,475
3250,187
3256,2794
3259,2901
3265,2431
3268,251
3271,303
3274,741
3277,420
3280,802
3283,2964
3286,730
3316,827
3325,974
3328,2880
3331,2143
3337,988
334,2877
3343,2295
3349,2546
3355,440
3361,1280
3367,788
3385,1465
3388,19
3400,112
3403,594
3409,1004
3415,1155
3424,2554
3427,1094
3430,1082
3439,2707
3445,227
3454,705
3457,331
3463,780
3472,379
361,425
370,2160
385,1687
388,504
397,2700
4,305
400,534
412,418
418,2222
421,1958
433,1686
436,687
442,1900
454,902
457,427
460,2894
466,203
475,1853
481,703
49,2612
496,1096
505,254
517,2363
532,1066
553,2931
559,1460
562,2729
568,2492
58,557
580,372
589,1775
592,1453
595,1244
604,752
613,2688
619,300
625,1086
628,632
658,469
661,2189
673,649
682,978
688,326
694,2518
706,2397
715,637
730,547
736,533
748,2844
754,3057
763,996
769,404
775,1538
79,1542
799,2292
805,253
817,1966
82,2791
835,92
838,2809
841,754
844,584
85,750
853,126
862,914
871,1142
874,624
880,384
886,2593
901,1088
907,543
913,2411
925,413
928,588
958,381
970,1333
976,439
985,2069
991,1393
1823,1188
185,628
1135,1410
